Interface,Description
Te1/1/1,
Te1/1/2,ENLACE_BACKUP_FLEX_20GB
Te1/1/3,ENLACE_PRODUCCION_FLEX_80GB
Te1/1/4,ENLACE_PRODUCCION_FLEX_80GB
Te1/1/5,TO_4500X-ZAM
Te1/1/6,PC_PALOALTO_SEG01_1/19
Te1/1/7,PORTCHANNEL 2 AS400-POWER8
Te1/1/8,"""TO TOR_3850"""
Te1/1/9,"""TO TOR_3850"""
Te1/1/10,"""TO TOR_3850"""
Te1/1/11,"""TO TOR_3850"""
Te1/1/12,"""TO 3850_TOR NOT ENABLE"""
Te1/1/13,"""TO 3850_TOR NOT ENABLE"""
Te1/1/14,PC_PALOALTO_SEG02_1/19
Te1/1/15,PC_PALOALTO_SEG01_1/5
Te1/1/16,PC_PALOALTO_SEG02_1/5
Gi1/2/1,
Gi1/2/2,
Gi1/2/3,
Gi1/2/4,
Gi1/2/5,
Gi1/2/6,
Gi1/2/7,
Gi1/2/8,
Gi1/2/9,
Gi1/2/10,
Gi1/2/11,
Gi1/2/12,
Gi1/2/13,
Gi1/2/14,
Gi1/2/15,
Gi1/2/16,
Gi1/2/17,
Gi1/2/18,
Gi1/2/19,
Gi1/2/20,
Gi1/2/21,
Gi1/2/22,
Gi1/2/23,
Gi1/2/24,
Gi1/2/25,
Gi1/2/26,
Gi1/2/27,
Gi1/2/28,
Gi1/2/29,
Gi1/2/30,
Gi1/2/31,
Gi1/2/32,
Gi1/2/33,
Gi1/2/34,
Gi1/2/35,
Gi1/2/36,
Gi1/2/37,
Gi1/2/38,
Gi1/2/39,
Gi1/2/40,
Gi1/2/41,
Gi1/2/42,
Gi1/2/43,
Gi1/2/44,
Gi1/2/45,
Gi1/2/46,
Gi1/2/47,
Gi1/2/48,
Gi1/3/1,PC to PALO_ALTO INSIDE P1/1
Gi1/3/2,PC to PALO_ALTO INSIDE S1/1
Gi1/3/3,PC to PALO_ALTO OUTSIDE P1/3
Gi1/3/4,
Gi1/3/5,PC to PALO_ALTO OUTSIDE S1/3
Gi1/3/6,PC to PALO_ALTO iDMZ P1/9
Gi1/3/7,TO-PA3020-ZAM
Gi1/3/8,PC to PALO_ALTO iDMZ S1/9
Gi1/3/9,CONECTED 2 MPLS ALESTRA
Gi1/3/10,PC to PALO_ALTO eDMZ P1/11
Gi1/3/11,MPLS_TELVISTA-TELMEX_P
Gi1/3/12,TO-PA3020-ZAM
Gi1/3/13,IMPERVA SEGMENTO 510
Gi1/3/14,PC to PALO_ALTO eDMZ S1/11
Gi1/3/15,INT_TELMEX_100MB_FTX1539AJJX
Gi1/3/16,po25 checkpoint 2 to 6500
Gi1/3/17,INT_TELMEX_50MB_FTX1529AHNR
Gi1/3/18,LINK TO OUTSIDE INTERNET
Gi1/3/19,RIVERBED-ORANGE
Gi1/3/20,PTO A QUALYSQUARD/E077
Gi1/3/21,MGMT_PALOALTO_SEG01_PTOMGMT
Gi1/3/22,PALO_ALTO
Gi1/3/23,PALO_ALTO
Gi1/3/24,P_MIRROR_RSA_B2B
Gi1/3/25,INPATH0_0-RIVERBED-ORANGE
Gi1/3/26,
Gi1/3/27,F5-SEC-PORT1.2
Gi1/3/28,F5-Sec-Port2/1
Gi1/3/29,Datos_ISE_1
Gi1/3/30,F5-Port2/1
Gi1/3/31,Inside_Po13_PA_BU
Gi1/3/32,F5-Port1/4
Gi1/3/33,Inside_Po13_PA_BU
Gi1/3/34,Outside_Po14_PA_BU
Gi1/3/35,Outside_Po14_PA_BU
Gi1/3/36,IronPort_To_FW-BU
Gi1/3/37,PTO A CISCO3945/E144
Gi1/3/38,F5_port1/1
Gi1/3/39,L2L_ATENTO_ROMA_MARCATEL
Gi1/3/40,PTO A FORTIGATE 800C/E146
Gi1/3/41,F5_port1/2
Gi1/3/42,MONITOREO_STORAGE_INFINIDAT
Gi1/3/43,
Gi1/3/44,ETH2 DATA POWER 2
Gi1/3/45,
Gi1/3/46,PTO A SW<DMZ>/E119
Gi1/3/47,ETH2 DATA POWER 1
Gi1/3/48,PTO A SW_MNGT_1/E111
Gi1/4/1,PEPLINK-MPLS
Gi1/4/2,PEPLINK-TRUNK
Gi1/4/3,DFW01PA:Mgmt
Gi1/4/4,**TO-LAN-PPLNK-210**
Gi1/4/5,SBC_TELMEX_TRIARA_P0
Gi1/4/6,CMS_Toreo
Gi1/4/7,"""TO FORTI_IBMDATAPOWER"""
Gi1/4/8,SBC_TELMEX_MGMT
Gi1/4/9,NETBACKUP VLAN 522
Gi1/4/10,
Gi1/4/11,"""TO FORTI_IBMDATAPOWER"""
Gi1/4/12,"""BS2-SW1"""
Gi1/4/13,
Gi1/4/14,PTO A -  ASA 5520/E126
Gi1/4/15,Proxy Alestra
Gi1/4/16,
Gi1/4/17,"""BS1-SW1"""
Gi1/4/18,CONECTED MPLS TELMEX
Gi1/4/19,TO_PA-3020-02-ZAM-LAN-3850-03
Gi1/4/20,TO_PA-3020-02-ZAM-LAN-3850-04
Gi1/4/21,TO_PA-3020-02-ZAM-LAN-3850-07
Gi1/4/22,TO_PA-3020-02-ZAM-LAN-3850-08
Gi1/4/23,CONNECTED 2 FORTINET 2
Gi1/4/24,Enlace Maxcom Santander Santa Fe
Gi1/4/25,"""DATA PORT - P1 IRONPORT 1"""
Gi1/4/26,
Gi1/4/27,TO_PA-3020-01-ZAM-LAN-3850-03
Gi1/4/28,TO_PA-3020-01-ZAM-LAN-3850-04
Gi1/4/29,TO_PA-3020-01-ZAM-LAN-3850-07
Gi1/4/30,TO_PA-3020-01-ZAM-LAN-3850-08
Gi1/4/31,ENLACE_PTO_11_FORTINET
Gi1/4/32,Orange
Gi1/4/33,
Gi1/4/34,"""BS1-SW2"""
Gi1/4/35,
Gi1/4/36,PTO A ASA5520/E127
Gi1/4/37,
Gi1/4/38,PARTICIONES_AS400_KIO
Gi1/4/39,
Gi1/4/40,
