Interface,Description
Gi1/4/41,MGMT ISE2
Gi1/4/42,"""TO_CORE_ANTARA_3850-1_G1/1/4"""
Gi1/4/43,not used
Gi1/4/44,F5-Port1/3
Gi1/4/45,
Gi1/4/46,iDRAC RSA
Gi1/4/47,ETH1 DATA POWER 2
Gi1/4/48,PTO A SW_MNGT_2/E112
Gi1/5/1,
Gi1/5/2,
Gi1/5/3,
Te1/5/4,
Te1/5/5,
Te2/1/1,
Te2/1/2,ENLACE_BACKUP_FLEX_20GB
Te2/1/3,ENLACE_PRODUCCION_FLEX_80GB
Te2/1/4,ENLACE_PRODUCCION_FLEX_80GB
Te2/1/5,TO_4500X-ZAM
Te2/1/6,PC_PALOALTO_SEG01_1/20
Te2/1/7,PORTCHANNEL 2 AS400-POWER8
Te2/1/8,"""TO TOR_3850"""
Te2/1/9,"""TO TOR_3850"""
Te2/1/10,"""TO TOR_3850"""
Te2/1/11,"""TO TOR_3850"""
Te2/1/12,
Te2/1/13,"""TO 3850_TOR NOT ENABLE"""
Te2/1/14,PC_PALOALTO_SEG02_1/20
Te2/1/15,PC_PALOALTO_SEG01_1/6
Te2/1/16,PC_PALOALTO_SEG02_1/6
Gi2/2/1,
Gi2/2/2,
Gi2/2/3,
Gi2/2/4,
Gi2/2/5,
Gi2/2/6,
Gi2/2/7,
Gi2/2/8,
Gi2/2/9,
Gi2/2/10,
Gi2/2/11,
Gi2/2/12,
Gi2/2/13,
Gi2/2/14,
Gi2/2/15,
Gi2/2/16,
Gi2/2/17,
Gi2/2/18,
Gi2/2/19,
Gi2/2/20,
Gi2/2/21,
Gi2/2/22,
Gi2/2/23,
Gi2/2/24,
Gi2/2/25,
Gi2/2/26,
Gi2/2/27,
Gi2/2/28,
Gi2/2/29,
Gi2/2/30,
Gi2/2/31,
Gi2/2/32,
Gi2/2/33,
Gi2/2/34,
Gi2/2/35,
Gi2/2/36,
Gi2/2/37,
Gi2/2/38,
Gi2/2/39,
Gi2/2/40,
Gi2/2/41,
Gi2/2/42,
Gi2/2/43,
Gi2/2/44,
Gi2/2/45,
Gi2/2/46,
Gi2/2/47,ENLACE A F5-SECUNDARIO FIBRA OPTICA
Gi2/2/48,
Gi2/3/1,PC to PALO_ALTO INSIDE P1/2
Gi2/3/2,PC to PALO_ALTO INSIDE S1/2
Gi2/3/3,PC to PALO_ALTO OUTSIDE P1/4
Gi2/3/4,PTO A AVAYA MGATEWAY2 G450 ETH LAN 05/E160
Gi2/3/5,PC to PALO_ALTO OUTSIDE S1/4
Gi2/3/6,PC to PALO_ALTO iDMZ P1/10
Gi2/3/7,Inside_Po13_PA_BU
Gi2/3/8,Inside_Po13_PA_BU
Gi2/3/9,PTO A DCS HP PROLIAN DL360 G7 PO1/E152
Gi2/3/10,PC to PALO_ALTO eDMZ P1/12
Gi2/3/11,
Gi2/3/12,
Gi2/3/13,Outside_Po14_PA_BU
Gi2/3/14,Outside_Po14_PA_BU
Gi2/3/15,IronPort_To_FW-BU
Gi2/3/16,AVAYA_GW450
Gi2/3/17,<< Conexion a 3560-2 >>
Gi2/3/18,connected 2 FLEX
Gi2/3/19,connected to FLEX
Gi2/3/20,
Gi2/3/21,F5 1.4 secundario
Gi2/3/22,PTO A DL360G7/E162
Gi2/3/23,PTO A CPUHP/E161
Gi2/3/24,PTO A IVR AES POWER EDGE R610(AVAYA)/E164
Gi2/3/25,INPATH0_1-RIVERBED-ORANGE
Gi2/3/26,
Gi2/3/27,
Gi2/3/28,connected 2 FLEX
Gi2/3/29,"""TO_WLC"""
Gi2/3/30,
Gi2/3/31,
Gi2/3/32,ENLACE A F5-PRIMARIO COBRE 1.6  (FIBRA OPTICA)
Gi2/3/33,prueba Espejo
Gi2/3/34,
Gi2/3/35,PTO_PRUEBAS_VLAN518
Gi2/3/36,MGMT CHECKPOINT
Gi2/3/37,Pto_Pruebas_518
Gi2/3/38,SERVERS_DRP
Gi2/3/39,L2L_ATENTO_AXTEL
Gi2/3/40,MGMT_PALOALTO_SEG02_PTOMGMT
Gi2/3/41,PALO_ALTO
Gi2/3/42,PALO_ALTO
Gi2/3/43,
Gi2/3/44,
Gi2/3/45,ENLACE A F5-SECUNDARIO COBRE 1.6  (FIBRA OPTICA)
Gi2/3/46,PTO A SW<DMZ>/E119
Gi2/3/47,PORT_MIRROR_NETWITNESS
Gi2/3/48,PTO A SW-MNGT_1/E111
Gi2/4/1,PC to PALO_ALTO iDMZ S1/10
Gi2/4/2,MPLS_TELVISTA-TELMEX_S
Gi2/4/3,DFW01PB:Mgmt
Gi2/4/4,PC to PALO_ALTO eDMZ S1/12
Gi2/4/5,TO_PA-3020-01-ZAM-LAN-3850-05
Gi2/4/6,TO_PA-3020-01-ZAM-LAN-3850-06
Gi2/4/7,TO_PA-3020-01-ZAM-LAN-3850-09
Gi2/4/8,TO_PA-3020-01-ZAM-LAN-3850-10
Gi2/4/9,Datos_ISE_2
Gi2/4/10,
Gi2/4/11,L2L_KIO-TOREO
Gi2/4/12,
Gi2/4/13,JABBER
Gi2/4/14,IMPERVA PORT MIRROR
Gi2/4/15,OLD.CHECKPOINT.BACKUP
Gi2/4/16,CONECTED 2 MPLS TELMEX BACKUP
Gi2/4/17,ETH2 DATA POWER 2
Gi2/4/18,ETH1 DATA POWER 2
Gi2/4/19,int 1.3 F5 secundario
Gi2/4/20,LAN_WIFI_WLC
Gi2/4/21,TO_PA-3020-02-ZAM-LAN-3850-05
Gi2/4/22,TO_PA-3020-02-ZAM-LAN-3850-06
Gi2/4/23,TO_PA-3020-02-ZAM-LAN-3850-09
Gi2/4/24,TO_PA-3020-02-ZAM-LAN-3850-10
Gi2/4/25,"""DATA PORT - P1 IRONPORT 2"""
Gi2/4/26,
Gi2/4/27,RSA MGMT
Gi2/4/28,
Gi2/4/29,
Gi2/4/30,MGMT ISE1
Gi2/4/31,
Gi2/4/32,
Gi2/4/33,
Gi2/4/34,
Gi2/4/35,L2L_Antara-Telvista_Maxcom
Gi2/4/36,Pto15 FORTINET
Gi2/4/37,po24 to checkpoint 1 to 6500
Gi2/4/38,po24 to checkpoint 1 to 6500
Gi2/4/39,po25 checkpoint 2 to 6500
Gi2/4/40,po25 checkpoint 2 to 6500
Gi2/4/41,
Gi2/4/42,"""TO_CORE_ANTARA_3850-2_G1/2"""
Gi2/4/43,
Gi2/4/44,
Gi2/4/45,
Gi2/4/46,
Gi2/4/47,
Gi2/4/48,
Gi2/5/1,
Gi2/5/2,
Gi2/5/3,
Te2/5/4,
Te2/5/5,
Po1,
Po2,
Po3,"""TO TOR_3850"""
Po10,PC_PALOALTO_SEGVLAN_INSIDE
Po12,PC_PALOALTO_SEGVLAN_OUTSIDE_PRIM
Po13,Inside_PaloAlto_BU
Po14,Outside_PaloAlto_BU
Po15,"""BS1-SW2"""
Po18,PORTCHANNEL 2 FLEX
Po20,<< Conexion a 3560-1 >>
Po21,<< Conexion a 3560-2 >>
Po24,PORTCHANNEL 2 CHECKPOINTs
Po25,PORTCHANNEL 2 CHECKPOINTs
Po33,"""TO_4500_DMZ"""
Po35,TO_PA-3020-01-ZAM-LAN-3850
Po36,TO_PA-3020-02-ZAM-LAN-3850
Po37,TO_PA-3020-01-ZAM-LAN-3850
Po38,TO_PA-3020-02-ZAM-LAN-3850
Po39,TO_4500X-ZAM
Po40,PORT-CHANNEL PALO_ALTO INSIDE PRIM
Po41,PORT-CHANNEL PALO_ALTO INSIDE SEC
Po42,PORT-CHANNEL PALO_ALTO OUTSIDE PRIM
Po43,PORT-CHANNEL PALO_ALTO OUTSIDE SEC
Po44,PORT-CHANNEL PALO_ALTO iDMZ
Po45,PORT-CHANNEL PALO_ALTO eDMZ
Po400,PORTCHANNEL 2 AS400-POWER8 CHASIS 1
Vl1,
Vl2,
Vl3,
Vl4,
Vl5,
Vl6,
Vl7,
Vl8,
Vl19,
Vl23,L2L_ATENTO
Vl40,
Vl41,
Vl145,
Vl160,
Vl180,
Vl201,DDI_VLAN_Mexico
Vl202,Conexion ZAM TO REPLICA
Vl203,MPLS Telmex HSRP
Vl204,
Vl205,L2L_ANTARA-KIO_PRIM
Vl207,
Vl300,
Vl301,
Vl304,
Vl305,
Vl398,
Vl400,Management
Vl468,
Vl500,Management_Switch
Vl502,
Vl503,
Vl504,
Vl505,
Vl506,
Vl507,
Vl508,
Vl509,
Vl510,
Vl511,
Vl512,
Vl514,SERVERS_PRO_2
Vl582,ATENCION TELEFONICA TACUBAYA
Vl584,
Vl586,
Vl591,Region_GAD
Vl800,
Vl851,
Vl852,
Vl949,
Vl1100,
Vl1101,FW-USERBROWSER
Vl1102,
Vl1200,FW_ZAM
