interface_mac_table,interface,vlan,mac address,address,description
Router, Vlan949 GigabitEthernet1/4/38 Vlan205 Vlan23 GigabitEthernet2/4/11 Vlan202 GigabitEthernet1/3/9 Vlan201 Vlan203 Vlan1102 Vlan204 Vlan1101 Vlan1200 Vlan400 Vlan503 Vlan504 Vlan505 Vlan506 Vlan507 Vlan508 Vlan509 Vlan510 Vlan512 Vlan591 Vlan514 Vlan207 Vlan586 Vlan582 Vlan584 Vlan1100 Vlan300 Vlan301 Vlan304 Vlan305 Vlan19 GigabitEthernet1/4/24 Vlan3 Vlan4 Vlan5 Vlan6 Vlan41 Vlan7 Vlan8 Vlan160 Vlan180 Vlan468 Vlan851 Vlan852 Vlan398 Vlan800 Vlan2 Vlan145 Vlan1,4,64a0.e7b3.d800, 1.1.1.3 1.1.8.1 1.50.0.17 1.50.0.25 1.51.0.10 10.10.1.254 10.110.0.2 10.110.0.14 10.110.0.17 10.110.0.29 10.110.0.33 10.110.0.49 10.110.0.62 10.110.1.1 10.110.3.253 10.110.4.254 10.110.5.254 10.110.6.254 10.110.7.254 10.110.8.254 10.110.9.254 10.110.10.254 10.110.12.254 10.110.13.94 10.110.14.254 10.110.21.1 10.110.64.3 10.110.66.253 10.110.68.6 10.158.251.3 10.241.4.11 10.241.5.11 10.241.8.11 10.241.9.11 10.241.10.129 10.241.11.34 10.241.12.1 10.241.12.129 10.241.13.1 10.241.13.129 10.241.14.129 10.241.15.1 10.241.15.129 10.241.16.11 10.241.18.11 10.241.22.250 100.100.100.1 100.100.110.1 192.168.1.100 192.168.10.254 192.168.144.11 192.168.145.11 192.168.254.1,
Po18, Vlan508,508,0050.569f.37cf, 10.110.8.179,PORTCHANNEL 2 FLEX
Po18, Vlan506,506,0050.569f.59e9, 10.110.6.107,PORTCHANNEL 2 FLEX
Po37,,911,001b.1700.0131,,TO_PA-3020-01-ZAM-LAN-3850
Po18, Vlan510,510,0050.569f.5904, 10.110.10.160,PORTCHANNEL 2 FLEX
Po18, Vlan504,504,6cae.8b2f.0d90, 10.110.4.106,PORTCHANNEL 2 FLEX
Po33,,40,0050.569f.432f,,"""TO_4500_DMZ"""
Po18, Vlan508,508,0050.569f.73fd, 10.110.8.10,PORTCHANNEL 2 FLEX
Po10, Vlan398,468,b40c.25e1.0010, 192.168.1.202,PC_PALOALTO_SEGVLAN_INSIDE
Po33, Vlan400,400,78da.6e62.ecff, 10.110.1.55,"""TO_4500_DMZ"""
Po18, Vlan503,503,0050.569f.3a27, 10.110.3.79,PORTCHANNEL 2 FLEX
Po18, Vlan202,202,0050.569f.1e0a, 10.10.1.227,PORTCHANNEL 2 FLEX
Gi1/4/35, Vlan504,504,6805.ca19.5d90, 10.110.4.155,
Po18, Vlan507,507,0050.569f.6e55, 10.110.7.41,PORTCHANNEL 2 FLEX
