interface_mac_table,interface,vlan,mac address,address,description
Gi4/5, ,960,9cb6.549f.c0ff, , 
Gi9/46, ,847,0024.50d4.c6c1, , 
Switch, ,557,3333.0000.0016, , 
Gi4/5, ,960,3820.5619.50bc, , 
"Gi4/3,Gi4/5", ,960,0100.5e7f.6612, , 
Gi2/15, ,1,001b.2b1e.6f0f, , 
Gi3/28, ,803,0023.e932.8ac5, , 
Po1, ,701,5475.d04e.c1d8, , 
Router, ,904,0019.a9bd.7c00, , 
Router, ,905,0019.a9bd.7c00, , 
Router, ,911,0019.a9bd.7c00, , 
Router, ,901,0019.a9bd.7c00, , 
Router, ,902,0019.a9bd.7c00, , 
Router, ,903,0019.a9bd.7c00, , 
Router, ,921,0019.a9bd.7c00, , 
Gi4/2, ,960,001d.e51b.d8c1, , 
Gi2/15, ,960,0020.4ad8.ac35, , 
Router, ,925,0019.a9bd.7c00, , 
Router, ,924,0019.a9bd.7c00, , 
Router, ,918,0019.a9bd.7c00, , 
Router, ,943,0019.a9bd.7c00, , 
Router, ,930,0019.a9bd.7c00, , 
Router, ,931,0019.a9bd.7c00, , 
Router, ,928,0019.a9bd.7c00, , 
Router, ,929,0019.a9bd.7c00, , 
Router, ,934,0019.a9bd.7c00, , 
Router, ,932,0019.a9bd.7c00, , 
Router, ,933,0019.a9bd.7c00, , 
Router, ,952,0019.a9bd.7c00, , 
Router, ,947,0019.a9bd.7c00, , 
Router, ,946,0019.a9bd.7c00, , 
Router, ,948,0019.a9bd.7c00, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,998,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,998,3333.0000.000d, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,999,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,999,3333.0000.000d, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,996,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,996,3333.0000.000d, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,995,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,995,3333.0000.000d, , 
Gi4/3, ,960,ac7e.8a2a.f292, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,1000,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,1000,3333.0000.000d, , 
Switch, ,202,3333.0000.0001, , 
Gi9/46, ,932,0021.2840.a199, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,965,3333.0000.000d, , 
" Gi1/13,Gi1/14,Gi1/15,Gi1/19 Gi1/20,Gi1/21,Gi1/22,Gi1/23 Gi1/24,Gi1/25,Gi1/30,Gi1/31 Gi1/32,Gi1/33,Gi1/35,Gi1/38 Gi1/39,Gi1/43,Gi1/44,Gi2/5 Gi2/15,Gi2/17,Gi2/23,Gi2/27 Gi2/33,Gi2/35,Gi2/37,Gi2/38 Gi2/39,Gi3/1,Gi3/5,Gi3/9 Gi3/10,Gi3/14,Gi3/16,Gi3/19 Gi3/24,Gi3/25,Gi3/26,Gi3/28 Gi3/29,Gi3/33,Gi3/40,Gi3/45 Gi4/1,Gi4/2,Gi4/3,Gi4/5 Gi9/8,Gi9/17,Gi9/31,Gi9/34 Gi9/38,Gi9/46,Po1,Router Switch,Stby-Switch", ,965,3333.0000.000d, , 
"Gi1/2,Gi1/6,Gi1/11,Gi1/12", ,967,3333.0000.000d, , 
