Interface,Description
Gi7/12,R4_VOIP_Bearer_Sh1_S7_P2
Gi7/13,
Gi7/14,
Gi7/15,
Gi7/16,
Gi7/17,
Gi7/18,
Gi7/19,
Gi7/20,
Gi7/21,
Gi7/22,
Gi7/23,
Gi7/24,
Gi9/1,
Gi9/2,
Gi9/3,Conexion al iSG1
Gi9/4,
Gi9/5,
Gi9/6,
Gi9/7,
Gi9/8,MEXCOTLC2960_253_200_g0/23(JMR)
Gi9/9,
Gi9/10,
Gi9/11,SCOTTY_NEW
Gi9/12,Server Envios Masivos
Gi9/13,
Gi9/14,
Gi9/15,"""Acterna SPAN Monitor Session"""
Gi9/16,
Gi9/17,"""CALEA_Router_222_65"""
Gi9/18,CX-600-3G-Monitoreo
Gi9/19,
Gi9/20,
Gi9/21,
Gi9/22,
Gi9/23,
Gi9/24,
Gi9/25,
Gi9/26,
Gi9/27,
Gi9/28,
Gi9/29,ASTELLIA MSO2
Gi9/30,
Gi9/31,ALU_RAMSES
Gi9/32,
Gi9/33,
Gi9/34,Servidor Alcatel
Gi9/35,
Gi9/36,2950_NDM
Gi9/37,
Gi9/38,TO CAT_A_221_74 nodo_6340_ID_26_slot16
Gi9/39,
Gi9/40,
Gi9/41,ALU FEPs
Gi9/42,ALU FEPs
Gi9/43,
Gi9/44,Acterna Interface de gestion 182.160 PD
Gi9/45,"""Temporal ALU_LAB3G"""
Gi9/46,"""Trunk SWITCH_ALU1"""
Gi9/47,"""R4 Monitor Session"""
Gi9/48,Acterna Interface de gestion 182.39 MSO
Lo11,
Lo12,
Lo13,
Lo14,
Po1,
Po2,
Po3,ALU_EXTERNAL_GGSN
Vl1,
Vl50,iHLR
Vl52,iHLR2
Vl60,OMC_MEXICO
Vl61,OMC-R 1.0
Vl63,NGMS PTP
Vl64,Calea XCPIO
Vl65,Calea Dispatch iSG 0
Vl66,Calea Dispatch iSG 1
Vl67,Provisioning Server MSO
Vl69,BlackBox
Vl74,MiniOMC E0 Switch
Vl86,Red FRU
Vl101,DCN Oscar Zuniga
Vl102,DCN Guadalajara
Vl103,DCN Monterrey
Vl104,DCN Reynosa
Vl110,DCN Ceragon
Vl117,PASSPORT8600-0
Vl118,PASSPORT8600-1
Vl119,PASSPORT-MGMNT
Vl120,EUI MSC5
Vl126,MSC3_OAM
Vl127,CBM_MSC3_A
Vl128,CBM_MSC3_B
Vl129,MSC3_CO
Vl187,Sincronia y EcoCanceladores
Vl188,OSPF Interoperability 2G-3G
Vl202,TO_PDFW_private
Vl580,JUNIPER M7i TLA_A
Vl600,DCN GESTION
Vl601,DCN Aguascalientes
Vl603,DCN BCS
Vl604,DCN Campeche
Vl606,DCN CD_Juarez
Vl607,DCN Torreon
Vl608,DCN Colima
Vl610,DCN Durango
Vl611,DCN EDOMEX
Vl612,DCN Guanajuato
Vl614,DCN Hidalgo
Vl615,DCN GDL via ESU
Vl616,DCN Michoacan
Vl617,DCN Morelos
Vl619,DCN Nvo Leon
Vl623,DCN Cancun
Vl624,DCN SLP
Vl625,DCN Sinaloa
Vl626,DCN Sonora
Vl627,DCN Tabasco
Vl628,DCN Reynosa
Vl630,DCN Jalapa
Vl631,DCN Merida
Vl632,DCN Zacatecas
Vl633,DCN GESTION_2
Vl635,MAILNEXTEL_MGMT
Vl640,DCN EDOMEX_2
Vl696,SigtranB_Softswitch
Vl697,SigtranA_Softswitch
Vl698,Billing_Softswitch
Vl699,Temporal_CGC_RFN
Vl825,MGMT_Tlal_Port
Vl831,
Vl861,R4 VSE NGW OAM
Vl862,R4 VSE NGW OAM
Vl863,R4_Signaling_MG_Sh1_S7_P0
Vl866,R4_Signaling_MG_Sh2_S6_P0
Vl867,R4 VSE NGW CallP Port
Vl870,R4 W-NMS OAM-OAM
Vl871,R4 W-NMS  B&R
Vl872,R4 W-NMS  OAM-NE
Vl873,R4_Signaling_MG3_Sh1_S7_P0
Vl876,ATS_SS7_Gtw0
Vl877,ATS_SS7_Gtw1
Vl881,R4_VOIP_Bearer_Sh1_S7_P1
Vl884,R4_VOIP_Bearer_Sh2_S6_P1
Vl885,IP MGMT-PORTABILITY
Vl886,R4_VOIP_Bearer_MG3_Sh1_S7_P1_P2
Vl890,R4_Backbone
Vl891,IP INTERNAL-PORTABILITY
Vl901,ALU O&M Support
Vl902,ALU SM01 TestBed
Vl903,ALU SM01 TestBed
Vl904,ALU ICC TestBed
Vl905,ALU O&M TestBed
Vl911,ASTELLIA MSO2
Vl918,STPA_Port_Tlal
Vl921,STPB_Port_Tlal
Vl924,SigtranA_Tlal_Port
Vl925,SigtranB_Tlal_Port
Vl928,STP2_Tlal
Vl929,STP2B_Tlal
Vl930,ALU_OAMSOL
Vl931,ALU_A1ICC-SRP
Vl932,ALU_A2ICC-SRP
Vl933,ALU_A1WCS
Vl934,ALU_A2WCS
Vl943,SENTINEL
Vl946,"ORYX, CAT4006MSO, 142CAT1900"
Vl947,RADIOS_WIRELESS_NOC
Vl948,Tellabs TEST
Vl952,Red Eventual de MONITOREO y Edificio B
Vl960,OPERACIONES
Vl961,RED NMS MSO
Vl962,"TELLABS, MARTIS, VERITY 3100"
Vl963,3rd_A_inside
Vl965,PRUEBAS
Vl967,EIU HLRG
Vl968,ALU_SMAdmin
Vl969,ALU_SMIntranet
Vl975,iHLR ee0 interface
Vl976,iHLR ee2 interface
Vl981,IP SIGTRAN_A-PORTABILITY
Vl982,IP SIGTRAN_B-PORTABILITY
Vl990,iHLR ee2 interface
Vl995,M2PA MOP
Vl996,traps_caps
Vl1000,DCN Guadalajara_2
